fabricante;codigo;referencia;material;tabela
FamaFlex;2001;001;;Série 2-xxx (W 1,78)
FamaFlex;2002;002;;Série 2-xxx (W 1,78)
FamaFlex;2003;003;;Série 2-xxx (W 1,78)
FamaFlex;2004;004;;Série 2-xxx (W 1,78)
FamaFlex;2005;005;;Série 2-xxx (W 1,78)
FamaFlex;2006;006;;Série 2-xxx (W 1,78)
FamaFlex;2007;007;;Série 2-xxx (W 1,78)
FamaFlex;2008;008;;Série 2-xxx (W 1,78)
FamaFlex;2009;009;;Série 2-xxx (W 1,78)
FamaFlex;2010;010;;Série 2-xxx (W 1,78)
FamaFlex;2011;011;;Série 2-xxx (W 1,78)
FamaFlex;2012;012;;Série 2-xxx (W 1,78)
FamaFlex;2013;013;;Série 2-xxx (W 1,78)
FamaFlex;2014;014;;Série 2-xxx (W 1,78)
FamaFlex;2015;015;;Série 2-xxx (W 1,78)
FamaFlex;2016;016;;Série 2-xxx (W 1,78)
FamaFlex;2017;017;;Série 2-xxx (W 1,78)
FamaFlex;2018;018;;Série 2-xxx (W 1,78)
FamaFlex;2019;019;;Série 2-xxx (W 1,78)
FamaFlex;2020;020;;Série 2-xxx (W 1,78)
FamaFlex;2021;021;;Série 2-xxx (W 1,78)
FamaFlex;2022;022;;Série 2-xxx (W 1,78)
FamaFlex;2023;023;;Série 2-xxx (W 1,78)
FamaFlex;2024;024;;Série 2-xxx (W 1,78)
FamaFlex;2025;025;;Série 2-xxx (W 1,78)
FamaFlex;2026;026;;Série 2-xxx (W 1,78)
FamaFlex;2027;027;;Série 2-xxx (W 1,78)
FamaFlex;2028;028;;Série 2-xxx (W 1,78)
FamaFlex;2029;029;;Série 2-xxx (W 1,78)
FamaFlex;2030;030;;Série 2-xxx (W 1,78)
FamaFlex;2031;031;;Série 2-xxx (W 1,78)
FamaFlex;2032;032;;Série 2-xxx (W 1,78)
FamaFlex;2033;033;;Série 2-xxx (W 1,78)
FamaFlex;2034;034;;Série 2-xxx (W 1,78)
FamaFlex;2035;035;;Série 2-xxx (W 1,78)
FamaFlex;2036;036;;Série 2-xxx (W 1,78)
FamaFlex;2037;037;;Série 2-xxx (W 1,78)
FamaFlex;2038;038;;Série 2-xxx (W 1,78)
FamaFlex;2039;039;;Série 2-xxx (W 1,78)
FamaFlex;2040;040;;Série 2-xxx (W 1,78)
FamaFlex;2041;041;;Série 2-xxx (W 1,78)
FamaFlex;2042;042;;Série 2-xxx (W 1,78)
FamaFlex;2043;043;;Série 2-xxx (W 1,78)
FamaFlex;2044;044;;Série 2-xxx (W 1,78)
FamaFlex;2045;045;;Série 2-xxx (W 1,78)
FamaFlex;2046;046;;Série 2-xxx (W 1,78)
FamaFlex;2047;047;;Série 2-xxx (W 1,78)
FamaFlex;2048;048;;Série 2-xxx (W 1,78)
FamaFlex;2049;049;;Série 2-xxx (W 1,78)
FamaFlex;2050;050;;Série 2-xxx (W 1,78)
FamaFlex;2102;102;;Série 2-xxx (W 2,62)
FamaFlex;2103;103;;Série 2-xxx (W 2,62)
FamaFlex;2104;104;;Série 2-xxx (W 2,62)
FamaFlex;2105;105;;Série 2-xxx (W 2,62)
FamaFlex;2106;106;;Série 2-xxx (W 2,62)
FamaFlex;2107;107;;Série 2-xxx (W 2,62)
FamaFlex;2108;108;;Série 2-xxx (W 2,62)
FamaFlex;2109;109;;Série 2-xxx (W 2,62)
FamaFlex;2110;110;;Série 2-xxx (W 2,62)
FamaFlex;2111;111;;Série 2-xxx (W 2,62)
FamaFlex;2112;112;;Série 2-xxx (W 2,62)
FamaFlex;2113;113;;Série 2-xxx (W 2,62)
FamaFlex;2114;114;;Série 2-xxx (W 2,62)
FamaFlex;2115;115;;Série 2-xxx (W 2,62)
FamaFlex;2116;116;;Série 2-xxx (W 2,62)
FamaFlex;2117;117;;Série 2-xxx (W 2,62)
FamaFlex;2118;118;;Série 2-xxx (W 2,62)
FamaFlex;2119;119;;Série 2-xxx (W 2,62)
FamaFlex;2120;120;;Série 2-xxx (W 2,62)
FamaFlex;2121;121;;Série 2-xxx (W 2,62)
FamaFlex;2122;122;;Série 2-xxx (W 2,62)
FamaFlex;2123;123;;Série 2-xxx (W 2,62)
FamaFlex;2124;124;;Série 2-xxx (W 2,62)
FamaFlex;2125;125;;Série 2-xxx (W 2,62)
FamaFlex;2126;126;;Série 2-xxx (W 2,62)
FamaFlex;2127;127;;Série 2-xxx (W 2,62)
FamaFlex;2128;128;;Série 2-xxx (W 2,62)
FamaFlex;2129;129;;Série 2-xxx (W 2,62)
FamaFlex;2130;130;;Série 2-xxx (W 2,62)
FamaFlex;2131;131;;Série 2-xxx (W 2,62)
FamaFlex;2132;132;;Série 2-xxx (W 2,62)
FamaFlex;2133;133;;Série 2-xxx (W 2,62)
FamaFlex;2134;134;;Série 2-xxx (W 2,62)
FamaFlex;2135;135;;Série 2-xxx (W 2,62)
FamaFlex;2136;136;;Série 2-xxx (W 2,62)
FamaFlex;2137;137;;Série 2-xxx (W 2,62)
FamaFlex;2138;138;;Série 2-xxx (W 2,62)
FamaFlex;2139;139;;Série 2-xxx (W 2,62)
FamaFlex;2140;140;;Série 2-xxx (W 2,62)
FamaFlex;2141;141;;Série 2-xxx (W 2,62)
FamaFlex;2142;142;;Série 2-xxx (W 2,62)
FamaFlex;2143;143;;Série 2-xxx (W 2,62)
FamaFlex;2144;144;;Série 2-xxx (W 2,62)
FamaFlex;2145;145;;Série 2-xxx (W 2,62)
FamaFlex;2146;146;;Série 2-xxx (W 2,62)
FamaFlex;2147;147;;Série 2-xxx (W 2,62)
FamaFlex;2148;148;;Série 2-xxx (W 2,62)
FamaFlex;2149;149;;Série 2-xxx (W 2,62)
FamaFlex;2150;150;;Série 2-xxx (W 2,62)
FamaFlex;2151;151;;Série 2-xxx (W 2,62)
FamaFlex;2152;152;;Série 2-xxx (W 2,62)
FamaFlex;2153;153;;Série 2-xxx (W 2,62)
FamaFlex;2154;154;;Série 2-xxx (W 2,62)
FamaFlex;2155;155;;Série 2-xxx (W 2,62)
FamaFlex;2156;156;;Série 2-xxx (W 2,62)
FamaFlex;2157;157;;Série 2-xxx (W 2,62)
FamaFlex;2158;158;;Série 2-xxx (W 2,62)
FamaFlex;2159;159;;Série 2-xxx (W 2,62)
FamaFlex;2160;160;;Série 2-xxx (W 2,62)
FamaFlex;2161;161;;Série 2-xxx (W 2,62)
FamaFlex;2162;162;;Série 2-xxx (W 2,62)
FamaFlex;2163;163;;Série 2-xxx (W 2,62)
FamaFlex;2164;164;;Série 2-xxx (W 2,62)
FamaFlex;2165;165;;Série 2-xxx (W 2,62)
FamaFlex;2166;166;;Série 2-xxx (W 2,62)
FamaFlex;2167;167;;Série 2-xxx (W 2,62)
FamaFlex;2168;168;;Série 2-xxx (W 2,62)
FamaFlex;2169;169;;Série 2-xxx (W 2,62)
FamaFlex;2170;170;;Série 2-xxx (W 2,62)
FamaFlex;2171;171;;Série 2-xxx (W 2,62)
FamaFlex;2172;172;;Série 2-xxx (W 2,62)
FamaFlex;2173;173;;Série 2-xxx (W 2,62)
FamaFlex;2174;174;;Série 2-xxx (W 2,62)
FamaFlex;2175;175;;Série 2-xxx (W 2,62)
FamaFlex;2176;176;;Série 2-xxx (W 2,62)
FamaFlex;2177;177;;Série 2-xxx (W 2,62)
FamaFlex;2178;178;;Série 2-xxx (W 2,62)
FamaFlex;2201;201;;Série 2-xxx (W 3,53)
FamaFlex;2202;202;;Série 2-xxx (W 3,53)
FamaFlex;2203;203;;Série 2-xxx (W 3,53)
FamaFlex;2204;204;;Série 2-xxx (W 3,53)
FamaFlex;2205;205;;Série 2-xxx (W 3,53)
FamaFlex;2206;206;;Série 2-xxx (W 3,53)
FamaFlex;2207;207;;Série 2-xxx (W 3,53)
FamaFlex;2208;208;;Série 2-xxx (W 3,53)
FamaFlex;2209;209;;Série 2-xxx (W 3,53)
FamaFlex;2210;210;;Série 2-xxx (W 3,53)
FamaFlex;2211;211;;Série 2-xxx (W 3,53)
FamaFlex;2212;212;;Série 2-xxx (W 3,53)
FamaFlex;2213;213;;Série 2-xxx (W 3,53)
FamaFlex;2214;214;;Série 2-xxx (W 3,53)
FamaFlex;2215;215;;Série 2-xxx (W 3,53)
FamaFlex;2216;216;;Série 2-xxx (W 3,53)
FamaFlex;2217;217;;Série 2-xxx (W 3,53)
FamaFlex;2218;218;;Série 2-xxx (W 3,53)
FamaFlex;2219;219;;Série 2-xxx (W 3,53)
FamaFlex;2220;220;;Série 2-xxx (W 3,53)
FamaFlex;2221;221;;Série 2-xxx (W 3,53)
FamaFlex;2222;222;;Série 2-xxx (W 3,53)
FamaFlex;2223;223;;Série 2-xxx (W 3,53)
FamaFlex;2224;224;;Série 2-xxx (W 3,53)
FamaFlex;2225;225;;Série 2-xxx (W 3,53)
FamaFlex;2226;226;;Série 2-xxx (W 3,53)
FamaFlex;2227;227;;Série 2-xxx (W 3,53)
FamaFlex;2228;228;;Série 2-xxx (W 3,53)
FamaFlex;2229;229;;Série 2-xxx (W 3,53)
FamaFlex;2230;230;;Série 2-xxx (W 3,53)
FamaFlex;2231;231;;Série 2-xxx (W 3,53)
FamaFlex;2232;232;;Série 2-xxx (W 3,53)
FamaFlex;2233;233;;Série 2-xxx (W 3,53)
FamaFlex;2234;234;;Série 2-xxx (W 3,53)
FamaFlex;2235;235;;Série 2-xxx (W 3,53)
FamaFlex;2236;236;;Série 2-xxx (W 3,53)
FamaFlex;2237;237;;Série 2-xxx (W 3,53)
FamaFlex;2238;238;;Série 2-xxx (W 3,53)
FamaFlex;2239;239;;Série 2-xxx (W 3,53)
FamaFlex;2240;240;;Série 2-xxx (W 3,53)
FamaFlex;2241;241;;Série 2-xxx (W 3,53)
FamaFlex;2242;242;;Série 2-xxx (W 3,53)
FamaFlex;2243;243;;Série 2-xxx (W 3,53)
FamaFlex;2244;244;;Série 2-xxx (W 3,53)
FamaFlex;2245;245;;Série 2-xxx (W 3,53)
FamaFlex;2246;246;;Série 2-xxx (W 3,53)
FamaFlex;2247;247;;Série 2-xxx (W 3,53)
FamaFlex;2248;248;;Série 2-xxx (W 3,53)
FamaFlex;2249;249;;Série 2-xxx (W 3,53)
FamaFlex;2250;250;;Série 2-xxx (W 3,53)
FamaFlex;2251;251;;Série 2-xxx (W 3,53)
