designacao;di_interno_mm;secao_w_mm;de_externo_mm;tolerancia_di_mm;tolerancia_w_mm
0.83x1.63;0,83;1,63;4,09;;
1x1;1;1;3;;
1x1.5;1;1,5;4;;
1x1.8;1;1,8;4,6;;
1x2;1;2;5;;
1x2.5;1;2,5;6;;
1x2.65;1;2,65;6,3;;
1x3;1;3;7;;
1.02x1.02;1,02;1,02;3,06;;
1.15x1;1,15;1;3,15;;
1.27x1.27;1,27;1,27;3,81;;
1.5x0.85;1,5;0,85;3,2;;
1.5x1;1,5;1;3,5;;
1.52x1.52;1,52;1,52;4,56;;
1.78x1.02;1,78;1,02;3,82;;
1.8x0.7;1,8;0,7;3,2;;
1.8x1.2;1,8;1,2;4,2;;
2x1;2;1;4;;
2x1.5;2;1,5;5;;
2x1.8;2;1,8;5,6;;
2x2;2;2;6;;
2x2.5;2;2,5;7;;
2x2.65;2;2,65;7,3;;
2x3;2;3;8;;
2.2x1.6;2,2;1,6;5,4;;
2.5x1;2,5;1;4,5;;
2.6x1.2;2,6;1,2;5;;
2.7x1.95;2,7;1,95;6,6;;
2.79x1.02;2,79;1,02;4,83;;
2.8x1.6;2,8;1,6;6;;
3x1;3;1;5;;
3x1.5;3;1,5;6;;
3x1.8;3;1,8;6,6;;
3x2;3;2;7;;
3x2.5;3;2,5;8;;
3x2.65;3;2,65;8,3;;
3x3;3;3;9;;
3.1x1.6;3,1;1,6;6,3;;
3.3x1;3,3;1;5,3;;
3.3x1.5;3,3;1,5;6,3;;
3.3x1.6;3,3;1,6;6,5;;
3.5x1;3,5;1;5,5;;
3.5x1.5;3,5;1,5;6,5;;
3.68x1.78;3,68;1,78;7,24;;
3.7x1.9;3,7;1,9;7,5;;
3.8x1.3;3,8;1,3;6,4;;
3.9x1.8;3,9;1,8;7,5;;
4x1;4;1;6;;
4x1.5;4;1,5;7;;
4x1.8;4;1,8;7,6;;
4x2;4;2;8;;
4x2.5;4;2,5;9;;
4x2.65;4;2,65;9,3;;
4x3;4;3;10;;
