as568;di_interno_pol;secao_w_pol;de_externo_pol;di_interno_mm;secao_w_mm;de_externo_mm;tolerancia_di_mm;tolerancia_w_mm
001;0,0291;0,0701;0,1693;0,74;1,78;4,3;0,1;0,1
002;0,0421;0,0701;0,1823;1,07;1,78;4,63;0,1;0,1
003;0,0559;0,0701;0,1961;1,42;1,78;4,98;0,1;0,1
004;0,0701;0,0701;0,2102;1,78;1,78;5,34;0,13;0,13
005;0,1012;0,0701;0,2413;2,57;1,78;6,13;0,13;0,13
006;0,1142;0,0701;0,2543;2,9;1,78;6,46;0,13;0,13
007;0,1449;0,0701;0,285;3,68;1,78;7,24;0,13;0,13
008;0,176;0,0701;0,3161;4,47;1,78;8,03;0,13;0,13
009;0,2079;0,0701;0,348;5,28;1,78;8,84;0,13;0,13
010;0,239;0,0701;0,3791;6,07;1,78;9,63;0,13;0,13
011;0,3012;0,0701;0,4413;7,65;1,78;11,21;0,13;0,13
012;0,3642;0,0701;0,5043;9,25;1,78;12,81;0,13;0,13
013;0,426;0,0701;0,5661;10,82;1,78;14,38;0,13;0,13
014;0,489;0,0701;0,6291;12,42;1,78;15,98;0,13;0,13
015;0,5512;0,0701;0,6913;14;1,78;17,56;0,18;0,18
016;0,6142;0,0701;0,7543;15,6;1,78;19,16;0,23;0,23
017;0,676;0,0701;0,8161;17,17;1,78;20,73;0,23;0,23
018;0,739;0,0701;0,8791;18,77;1,78;22,33;0,23;0,23
019;0,8024;0,0701;0,9425;20,38;1,78;23,94;0,23;0,23
020;0,8642;0,0701;1,0043;21,95;1,78;25,51;0,23;0,23
021;0,926;0,0701;1,0661;23,52;1,78;27,08;0,23;0,23
022;0,989;0,0701;1,1291;25,12;1,78;28,68;0,25;0,25
023;1,0512;0,0701;1,1913;26,7;1,78;30,26;0,25;0,25
024;1,1142;0,0701;1,2543;28,3;1,78;31,86;0,25;0,25
025;1,176;0,0701;1,3161;29,87;1,78;33,43;0,28;0,28
026;1,239;0,0701;1,3791;31,47;1,78;35,03;0,28;0,28
027;1,3012;0,0701;1,4413;33,05;1,78;36,61;0,28;0,28
028;1,3642;0,0701;1,5043;34,65;1,78;38,21;0,33;0,33
029;1,489;0,0701;1,6291;37,82;1,78;41,38;0,33;0,33
030;1,6142;0,0701;1,7543;41;1,78;44,56;0,33;0,33
031;1,739;0,0701;1,8791;44,17;1,78;47,73;0,38;0,38
032;1,8642;0,0701;2,0043;47,35;1,78;50,91;0,38;0,38
